id	age	gender	engagement	mem.edu	zip	channel	progressivism	harm	fair	in.group	authority	purity	account.age	region	public.sector	sustainability	localism	pub.greater.priv	experience.more.important	teachers.underpaid	main.focal.value	support.of.focal.value
346	56	other	Engaged	2	98503	Branch	-0.083333333	1	1	1	1	1.25	9.951	Thurston	yes	2.333333333	2.75	3	3	2	Homelessness	0
348	66	female	Highly Engaged	3	98012	Branch	2.291666667	5	4.75	2.25	3.25	2.25	8.838	W WA Metro	yes	6	5.75	1	4	5	Environment	18.62783004
349	71	male	Not Engaged	7	98506	Branch	1	3.25	4.25	2.25	3.25	2.75	5.356	Thurston	yes	5.166666667	4.5	4	3	6	Hunger/Poverty	28.73998567
352	66	male	Engaged	7	NA	Branch	0.583333333	4.25	4.75	4.75	3.25	3.75	9.192	W WA Metro	no	5.5	4.5	3	3	4	Education	18.05537225
358	50	male	Highly Engaged	4	98233	Branch	-0.5	2	4.5	3.5	4.5	3.25	11.57	W WA Non Metro	yes	2.833333333	4	2	4	5	Education	4.400921481
361	40	female	Engaged	3	98520	Branch	0.541666667	3.75	4	3.75	3	3.25	5.932	W WA Non Metro	yes	3.5	5.25	3	5	6	Homelessness	28.68013657
367	49	male	Engaged	4	NA	Branch	1.791666667	4.25	4.5	3.5	2.5	1.75	23.611	W WA Metro	yes	5.833333333	5.5	5	2	5	Human/Civil rights	58.08816128
368	43	male	Not Engaged	6	99163	Branch	2.5	4.75	4.25	2.5	2.25	1.25	5.033	E WA Non Metro	yes	3.333333333	4.75	4	3	6	Environment	9.126386449
369	61	male	Highly Engaged	3	98133	Branch	0.5	4.25	4.25	3.75	3.75	3.75	25.951	W WA Metro	yes	2.5	2.75	4	5	6	Human/Civil rights	4.400921481
371	71	female	Highly Engaged	6	NA	Branch	3.166666667	4.75	4.25	1.5	1.5	1	20.367	W WA Metro	yes	5.333333333	6	1	3	4	Environment	82.12568761
372	73	female	Highly Engaged	6	98506	Branch	1.958333333	3.75	5	2.5	3	1.75	45.115	Thurston	yes	4.833333333	5.75	3	4	5	Environment	32.59517576
372	73	female	Highly Engaged	6	98506	Branch	1.958333333	3.75	5	2.5	3	1.75	45.115	Thurston	yes	4.833333333	5.75	3	4	5	Environment	32.59517576
373	61	male	Highly Engaged	4	98506	Branch	1.625	4.25	4.5	3.25	3	2	37.455	Thurston	yes	5.666666667	5.75	6	5	6	Environment	21.06146345
375	79	female	Engaged	2	98532	Branch	0.208333333	4.5	4.25	4.5	3.75	4.25	8.526	W WA Non Metro	no	4.333333333	5	4	3	4	Hunger/Poverty	16.33599848
399	60	male	Not Engaged	3	98001	Loan	0.166666667	3.75	3.25	3.5	3.5	3	1.929	W WA Metro	no	4	4.25	3	4	6	Homelessness	4.400921481
412	71	male	Not Engaged	6	98532	Branch	0.041666667	2	3.25	2.75	3	2	28.471	W WA Non Metro	yes	4.333333333	4.5	3	4	2	Health (i.e. cancer research)	10.11215563
424	38	female	Highly Engaged	4	98660	Branch	1.5	4	3	2.5	1.75	1.75	4.477	W WA Metro	yes	4.833333333	5	3	3	5	Animal rights	16.74505958
425	31	male	Highly Engaged	3	98502	Branch	0.208333333	3.25	3.5	3.25	3	3.25	2.619	Thurston	no	5.333333333	5.75	5	5	5	Human/Civil rights	42.81474071
426	29	female	Engaged	3	NA	Other	-1.208333333	3.75	1.5	3.25	3.5	4.75	0.46	W WA Non Metro	no	4	4	1	4	1	Law enforcement	14.8376206
429	46	male	Highly Engaged	5	NA	Branch	1.541666667	4.5	3.75	2.5	2.5	2.75	12.392	Thurston	yes	2.5	4.25	3	5	3	Animal rights	49.03858355
430	29	female	Engaged	6	98938	Loan	1.375	3.5	4.25	3	3.25	1.25	4.537	E WA Non Metro	no	2.333333333	4.75	3	4	5	Hunger/Poverty	10.11215563
432	40	female	Engaged	3	NA	Branch	1.5	5	3.5	3	2.75	2.5	2.83	E WA Metro	no	5.5	6	4	4	5	Animal rights	35.07123783
433	35	female	Engaged	4	98422	Other	0.041666667	3.75	4	3.75	3.5	4.25	1.504	W WA Metro	no	4.833333333	4.75	3	6	6	Animal rights	0
434	70	male	Highly Engaged	7	99163	Branch	1.041666667	3.5	4.25	3	2.25	3.25	33.778	E WA Non Metro	no	5.5	6	3	3	6	Hunger/Poverty	35.5938065
435	72	female	Highly Engaged	3	NA	Branch	0.208333333	4.25	4	4.25	4	3.5	7.518	W WA Non Metro	no	4	4.5	3	3	2	Education	4.400921481
437	43	female	Not Engaged	4	NA	Branch	0.625	4	3.75	3	3.5	3.25	3.184	Thurston	yes	5	6	4	2	3	Human/Civil rights	4.400921481
439	39	female	Highly Engaged	4	NA	Branch	0.625	4	3.75	3	3.5	3.25	5.321	W WA Metro	no	5.5	5	5	5	6	Human/Civil rights	33.3325325
440	33	male	Engaged	4	NA	Branch	3.25	3.75	4.25	0.5	0.75	1	12.068	Thurston	yes	4	5.25	4	5	6	Education	100
441	65	male	Not Engaged	6	NA	Branch	2.083333333	2.5	5	2	1.5	1.5	3.077	W WA Metro	no	5.166666667	6	4	4	6	Hunger/Poverty	28.68013657
442	83	female	Not Engaged	2	NA	Branch	0.708333333	4.25	4	2.75	3.5	4	26.296	Thurston	no	4.5	5	2	4	4	Animal rights	9.126386449
444	64	male	Highly Engaged	4	NA	Branch	-0.416666667	3	3	3.5	3.5	3.25	37.29	Thurston	yes	4.666666667	3.75	2	5	3	Specify	23.02875152
445	20	female	Engaged	3	98501	Branch	1.208333333	4.25	4.5	2.5	2.5	4.5	3.567	Thurston	no	3.833333333	3	4	2	6	Education	12.40398719
447	56	female	Engaged	8	NA	Branch	2.5	3.5	4	2.25	1.25	0.25	25.51	E WA Non Metro	yes	5.166666667	5	5	4	6	Human/Civil rights	54.1485675
448	22	female	Engaged	4	NA	Branch	1.208333333	4	3.75	3.25	2.75	2	4.989	W WA Metro	yes	3.5	4.25	2	4	6	Education	47.37159842
449	54	female	Engaged	3	NA	Branch	0.208333333	4.5	3.75	3.75	3.75	4.25	2.997	Thurston	yes	5	4.25	3	5	6	Environment	10.11215563
451	35	female	Highly Engaged	4	NA	Branch	0.083333333	4	4.5	4.5	4	4	10.858	Thurston	no	5	4	3	5	6	Education	0
452	42	male	Not Engaged	4	98042	Branch	2	3.25	3.75	3	1	0.5	18.759	W WA Metro	yes	5.333333333	4	6	5	3	Education	20.00262522
453	63	female	Highly Engaged	6	98087	Branch	0.75	4.5	4.5	4.25	3	4	27.31	W WA Metro	yes	5.666666667	4.5	3	4	5	Animal rights	47.23489757
455	39	male	Not Engaged	2	98951	Loan	0.333333333	2	4.5	2.5	3	3.25	0.663	E WA Non Metro	no	2.5	4	3	4	2	Hunger/Poverty	9.126386449
456	42	female	Engaged	4	NA	Branch	0.791666667	2.75	3.5	2	2.75	2.25	0.26	W WA Metro	no	4	3.25	3	3	5	Homelessness	0
458	65	female	Highly Engaged	3	NA	Branch	-0.375	3.75	5	4.25	5	5	9.573	W WA Metro	yes	2.5	2.25	3	3	6	Education	4.400921481
459	48	male	Engaged	6	NA	Branch	1.75	4.25	4.75	2.75	2.75	2.75	4.296	W WA Metro	yes	4.666666667	5.5	1	5	5	Human/Civil rights	49.83216364
460	68	female	Highly Engaged	4	98569	Branch	0.75	3.5	4	2.75	2.75	3.5	35.463	W WA Non Metro	yes	3	4	2	4	5	Hunger/Poverty	4.400921481
461	55	female	Engaged	4	98466	Branch	1.458333333	3.5	3.25	2.75	1.75	1.25	23.578	W WA Metro	yes	3.166666667	5.25	3	5	6	Arts & culture	28.73998567
464	49	male	Engaged	4	98117	Branch	0.125	2	3.25	3	3.25	1.25	3.43	W WA Metro	no	6	5	2	5	6	Environment	14.8376206
465	35	female	Not Engaged	4	NA	Branch	0.666666667	4.5	4	3	4	3.75	1.899	E WA Metro	no	3.833333333	5.25	6	4	6	Education	38.95955062
466	25	male	Not Engaged	3	98026	Branch	0.875	3.25	3	2	2.5	2.25	15.258	W WA Metro	no	4.333333333	4	3	6	4	Health (i.e. cancer research)	9.126386449
468	26	female	Engaged	4	NA	Branch	1.125	3.5	2.75	2.75	1.25	2	8.227	Thurston	no	6	6	1	6	6	Environment	14.8376206
469	61	female	Engaged	6	NA	Branch	2.291666667	4.5	4.25	2	1.5	2.75	24.893	Thurston	yes	5.833333333	6	5	1	6	Environment	77.84898381
470	62	male	Engaged	7	99163	Branch	3.333333333	4.5	5	1.5	1.5	1.25	14.414	E WA Non Metro	yes	5.5	5	6	3	6	Human/Civil rights	53.05737574
473	59	male	Engaged	8	NA	Branch	2.75	4	5	0.75	2.25	2.25	24.595	Thurston	yes	5.833333333	6	3	4	6	Hunger/Poverty	47.89237112
474	29	male	Not Engaged	4	98387	Loan	0.333333333	3.5	3.5	3.25	4	2.25	0.485	W WA Metro	no	4.166666667	4.5	2	5	6	Human/Civil rights	0
476	37	female	Not Engaged	4	NA	Branch	1.291666667	3	4.25	2.25	2.5	2.25	3.279	E WA Metro	yes	4	4.5	5	4	6	Human/Civil rights	28.2787719
481	27	other	Not Engaged	4	NA	Loan	0.041666667	3.25	3	2.75	3.5	3	4.03	Thurston	no	6	2.75	1	6	4	Health (i.e. cancer research)	4.725464968
482	38	female	Engaged	3	NA	Branch	0.958333333	5	3.25	3	4	2.5	6.926	W WA Metro	yes	2.166666667	3.5	1	2	4	Health (i.e. cancer research)	9.126386449
483	46	female	Highly Engaged	8	NA	Branch	1.333333333	4.25	4.25	2.25	3	3.5	19.512	W WA Metro	no	4.166666667	4.25	4	1	6	Health (i.e. cancer research)	49.09843265
484	57	male	Highly Engaged	8	98028	Branch	2.375	3.5	4.25	2.5	1.75	0.25	25.518	W WA Metro	no	4.5	4.25	4	2	4	Environment	14.8376206
485	54	male	Highly Engaged	4	NA	Branch	-0.125	3.25	4.5	4.25	4.25	3.5	10.337	W WA Metro	no	4.166666667	4	1	4	6	Hunger/Poverty	21.06146345
486	58	female	Engaged	6	NA	Branch	1.458333333	4.75	5	2.5	3.75	4	8.268	Thurston	yes	3.333333333	4.75	4	2	6	Human/Civil rights	16.74505958
487	59	male	Engaged	3	NA	Branch	0.583333333	3.75	3.75	3.75	3.75	2	29.94	Thurston	yes	3.833333333	4.25	2	5	5	Domestic abuse	4.400921481
488	58	female	Not Engaged	4	98506	Branch	2.666666667	4.5	4.5	1.75	2.25	1.5	18.682	Thurston	yes	6	6	3	4	6	Human/Civil rights	39.55637535
490	28	other	Highly Engaged	4	99205	Branch	0.75	3	3.5	3.5	3.25	0.75	11.822	E WA Metro	no	2.833333333	3	1	3	4	Education	18.93326454
491	75	male	Engaged	6	99003	Branch	0.875	4.25	4	3.25	2.75	3.75	25.814	E WA Metro	yes	5.666666667	5.75	2	3	6	Environment	21.06146345
492	66	female	Engaged	2	NA	Branch	0.125	5	3.25	4.25	4.75	3	3.362	Thurston	no	4	3.25	3	4	6	Health (i.e. cancer research)	16.74505958
493	80	male	Engaged	3	98501	Branch	0.083333333	5	5	5	4.75	5	0.97	Thurston	no	2.666666667	5.5	1	2	1	Homelessness	37.56472033
494	43	female	Highly Engaged	4	NA	Other	0.375	3.25	3.5	2	3.25	3.75	1.301	W WA Non Metro	yes	3.166666667	4.25	3	4	5	Domestic abuse	0
495	56	female	Highly Engaged	8	98466	Branch	1.25	2.75	3.25	2.25	1.5	1.5	22.542	W WA Metro	yes	5.5	4.25	4	3	4	Environment	22.45629373
497	64	female	Highly Engaged	5	NA	Branch	1.375	4.25	4	3.5	2.25	2.5	16.397	W WA Metro	yes	5.5	5.25	6	3	6	Homelessness	22.45629373
498	30	female	Highly Engaged	3	99159	Branch	-0.083333333	3.5	2	2.25	3	3.25	23.962	E WA Non Metro	yes	2.333333333	3.75	2	5	3	Animal rights	4.725464968
499	56	female	Engaged	4	NA	Branch	1.708333333	3	3.25	1.75	2	0.5	7.285	W WA Metro	yes	4.833333333	4.25	3	5	4	Environment	6.223842846
501	18	female	Not Engaged	4	NA	Branch	-0.041666667	2.75	2.5	3	2	3	0.356	W WA Metro	no	3.333333333	4	5	4	5	Education	22.45629373
503	39	male	Not Engaged	6	NA	Branch	0.916666667	4.5	4	3	3.25	3.75	3.479	Thurston	yes	6	5.5	3	3	6	Environment	22.45629373
504	25	female	Highly Engaged	3	NA	Branch	2.291666667	4.75	2.5	0	1.75	2.25	11.277	Thurston	no	5.666666667	5.5	4	5	6	Environment	5.711234151
505	68	female	Highly Engaged	6	NA	Branch	2.916666667	3.75	3.25	0.75	0.75	0.25	22.195	Thurston	yes	5.166666667	5.75	3	4	5	Human/Civil rights	10.11215563
506	48	male	Highly Engaged	4	NA	Branch	0.333333333	4.5	4	3.25	4	4.5	10.301	Thurston	no	5.166666667	4.25	2	2	6	Environment	9.126386449
508	27	female	Highly Engaged	4	NA	Branch	0.416666667	3	3	2.5	2	3.25	8.573	W WA Metro	no	4.166666667	4.25	6	2	4	Education	4.725464968
509	46	female	Not Engaged	4	NA	Loan	2.083333333	4.75	4.75	2.25	2	3.75	0.778	Thurston	yes	5.5	6	6	6	6	Domestic abuse	37.50487123
