DepartmentName	Segment	count
BULK	Light	2713
BULK	Primary	178520
BULK	Secondary	144862
CHEESE	Light	859
CHEESE	Primary	147679
CHEESE	Secondary	96987
DELI	Light	5830
DELI	Primary	155086
DELI	Secondary	138722
FROZEN	Light	647
FROZEN	Primary	152940
FROZEN	Secondary	97808
MEAT	Light	653
MEAT	Primary	149251
MEAT	Secondary	107350
PACKAGED GROCERY	Light	6980
PACKAGED GROCERY	Primary	200737
PACKAGED GROCERY	Secondary	223815
PRODUCE	Light	3971
PRODUCE	Primary	199978
PRODUCE	Secondary	211226
REF GROCERY	Light	3491
REF GROCERY	Primary	197463
REF GROCERY	Secondary	194758
SUPPLEMENTS	Light	439
SUPPLEMENTS	Primary	90017
SUPPLEMENTS	Secondary	55657
