dept	min.val	mean.val	max.val
PACKAGED GROCERY	79434.2400000001	99348.5543055556	112303.6
PRODUCE	76799.2000000001	98711.5004166666	116442.92
BULK	31610.05	39482.6029166667	45908.04
REF GROCERY	44239.77	49940.9279166667	55656.0700000001
CHEESE	12407.99	14674.3226388889	16404.14
FROZEN	17176.47	20843.8598611111	25079.99
BREAD	4056.13	5155.48347222222	6148.53
DELI	26791.51	32930.0273611111	41793.03
GEN MERCH	5662.45	7622.68736111111	14561.25
SUPPLEMENTS	21542.4	27217.9556944444	33232.45
PERSONAL CARE	17179.19	19923.1816666667	24983.06
HERBS&SPICES	2477.53	3738.605	5399
MEAT	27457.41	37751.0686111111	50016.37
JUICE BAR	2811.65	5271.83347222222	9130.77
FISH&SEAFOOD	6233.43	7821.69236111111	9416.74
BAKEHOUSE	1246.16	7355.93180327869	8858.17
FLOWERS	715.31	2101.34805555556	8320.38
