month	Dept	sales
6	PACKAGED GROCERY	543100.310000001
6	PRODUCE	621904.66
6	BULK	222631.2
6	MEAT	211331.84
5	PACKAGED GROCERY	613069.96
5	PRODUCE	675456.959999999
5	BULK	243523.41
5	MEAT	235744.5
12	PACKAGED GROCERY	633256.29
12	PRODUCE	579172.53
12	BULK	255121.31
12	MEAT	243880.98
3	PACKAGED GROCERY	620291.34
3	PRODUCE	598463.94
3	BULK	246370.89
3	MEAT	220068.51
4	PACKAGED GROCERY	593642.95
4	PRODUCE	626085.6
4	BULK	243306.73
4	MEAT	228257.03
8	PACKAGED GROCERY	561082.030000001
8	PRODUCE	575413.98
8	BULK	223854.21
8	MEAT	215520.21
11	PACKAGED GROCERY	620978.78
11	PRODUCE	600983.05
11	BULK	247562.63
11	MEAT	258999.49
9	PACKAGED GROCERY	599386.19
9	PRODUCE	550700.94
9	BULK	230104.72
9	MEAT	226580.8
1	PACKAGED GROCERY	618139.57
1	PRODUCE	590776.07
1	BULK	243823.88
1	MEAT	224411.93
7	PACKAGED GROCERY	555475.020000001
7	PRODUCE	604768.43
7	BULK	217713.53
7	MEAT	217565.15
2	PACKAGED GROCERY	563703.600000001
2	PRODUCE	533179.27
2	BULK	224116.2
2	MEAT	204249.94
10	PACKAGED GROCERY	630969.87
10	PRODUCE	550322.6
10	BULK	244618.7
10	MEAT	231466.56
