datetime,register_no,emp_no,trans_no,upc,description,trans_type,trans_subtype,trans_status,department,quantity,Scale,cost,unitPrice,total,regPrice,altPrice,tax,taxexempt,foodstamp,wicable,discount,memDiscount,discountable,discounttype,voided,percentDiscount,ItemQtty,volDiscType,volume,VolSpecial,mixMatch,matched,memType,staff,numflag,itemstatus,tenderstatus,charflag,varflag,batchHeaderID,local,organic,display,receipt,card_no,store,branch,match_id,trans_id
2013-07-01T07:18:31Z,16,54,1,0000000009506,Offsite: Plain Croissant,I,,,17,10,0,0.21,1.39,13.9,1.39,0,0,0,1,0,0,0,1,0,0,,10,0,0,0,0,0,,,1,0,0,,0,,0,0,,0,50056,32,0,0,4
2013-07-01T07:18:42Z,16,54,1,0000000009515,Offsite: White Burger Bun,I,,,17,24,0,0,0.4,9.6,0.4,0,0,0,1,0,0,0,1,0,0,,24,0,0,0,0,0,,,1,0,0,,0,,0,0,,0,50056,32,0,0,5
2013-07-01T07:18:46Z,16,54,1,0000000009516,Offsite: Wheat Burger Bun,I,,,17,12,0,0,0.4,4.8,0.4,0,0,0,1,0,0,0,1,0,0,,12,0,0,0,0,0,,,1,0,0,,0,,0,0,,0,50056,32,0,0,6
2013-07-01T07:18:58Z,16,54,1,0000000009511,Offsite: Stirato Roll,I,,,17,15,0,0,0.6,9,0.6,0,0,0,1,0,0,0,1,0,0,,15,0,0,0,0,0,,,1,0,0,,0,,0,0,,0,50056,32,0,0,7
2013-07-01T07:19:01Z,16,54,1,0000000009509,Offsite: Baguette,I,,,17,6,0,0,1.75,10.5,1.75,0,0,0,1,0,0,0,1,0,0,,6,0,0,0,0,0,,,1,0,0,,0,,0,0,,0,50056,32,0,0,8
2013-07-01T07:19:51Z,16,54,1,0000000009512,Offsite: Multigrain Loaf,I,,,17,8,0,0,2.75,22,2.75,0,0,0,1,0,0,0,1,0,0,,8,0,0,0,0,0,,,1,0,0,,0,,0,0,,0,50056,32,0,0,9
2013-07-01T07:20:37Z,16,54,1,0000000009513,Offsite: Sourdough White Loaf,I,,,17,1,0,0,2.95,2.95,2.95,0,0,0,1,0,0,0,1,0,0,,1,0,0,0,0,0,,,1,0,0,,0,,0,0,,0,50056,32,0,0,10
2013-07-01T07:20:43Z,16,54,1,0000000009517,Offsite: Challah Pan Loaf 20oz,I,,,17,4,0,0,3.25,13,3.25,0,0,0,1,0,0,0,1,0,0,,4,0,0,0,0,0,,,1,0,0,,0,,0,0,,0,50056,32,0,0,11
2013-07-01T07:20:48Z,16,54,1,0000000009514,Offsite: Rye Loaf,I,,,17,2,0,0,2.75,5.5,2.75,0,0,0,1,0,0,0,1,0,0,,2,0,0,0,0,0,,,1,0,0,,0,,0,0,,0,50056,32,0,0,12
2013-07-01T07:20:55Z,16,54,1,0000000009519,Offsite: Gluten Free Loaf,I,,,17,1,0,0,5.99,5.99,5.99,0,0,0,1,0,0,0,1,0,0,,1,0,0,0,0,0,,,1,0,0,,0,,0,0,,0,50056,32,0,0,13
